year,month,day,tmaxlow,tmax,tmaxup,tminlow,tmin,tminup,dtrlow,dtr,dtrup
1929,6,30,25.26,32.2,40.8,11.92,29.4,28.21,3.81,2.8,22.13
1929,7,22,25.84,30.6,40.96,14.32,13.9,27.26,4.53,16.7,20.69
1929,9,22,20.48,20,40,7.72,13.3,26.45,2.77,6.7,23.46
1931,7,7,26.1,40.6,40.52,13.12,21.7,27.74,4.66,18.9,21.11
1931,8,24,25.13,30,39.77,12.66,11.7,27.48,3.81,18.3,20.94
1932,5,19,20.15,19.4,39.86,4.77,16.7,26.11,2.85,2.7,26.28
1932,8,20,23.29,23.9,41.95,15,21.7,26.21,2.5,2.2,21.52
1932,9,8,24.41,27.2,38.98,11.15,8.9,26.97,3.6,18.3,21.67
1932,9,9,23.17,30,39.58,10.23,8.9,27.19,2.93,21.1,22.41
1932,9,15,20.96,20.6,40.06,9.32,17.2,27.17,0.99,3.4,23.54
1933,6,15,23.84,26.1,40.6,10.94,9.4,27.51,3.59,16.7,22.42
1933,6,16,21.89,28.9,42.47,10.41,7.8,27.37,3.58,21.1,23.01
1933,6,17,22.3,33.9,41.94,11.77,11.7,26.74,3.44,22.2,22.29
1933,7,4,24.67,27.2,41.35,13.99,13.9,26.64,3.46,13.3,21.93
1933,7,13,26.07,24.4,40.36,14.6,18.9,26.37,5.22,5.5,20.23
1934,5,17,19.77,18.9,39.55,3.88,12.8,25.64,3.97,6.1,25.82
1934,5,28,19.19,16.7,41.45,6.92,12.8,26.19,2.99,3.9,24.54
1934,5,29,20.9,20.6,40.5,7.27,11.7,26.44,3.61,8.9,24.08
1934,8,11,25.43,26.1,40.54,14.87,22.2,26.64,4.3,3.9,20.14
1935,5,17,19.77,17.8,39.55,3.88,13.3,25.64,3.97,4.5,25.82
1935,7,27,25.31,26.1,41.06,15.36,22.8,26.48,4.21,3.3,20.33
1935,9,12,22.07,21.7,39.64,8.41,17.8,28.09,3.06,3.9,22.15
1936,9,1,24.44,31.1,39.66,12.34,11.7,26.61,3.45,19.4,21.7
1936,9,2,24.18,31.7,39.87,13.15,12.8,25.97,3.7,18.9,21.22
1937,7,31,25.78,25.6,41.29,14.96,21.1,26.91,4.79,4.5,20.41
1937,10,15,15.95,15.6,36.11,-2.25,6.7,26.09,0.81,8.9,27.42
1939,5,14,18.35,18.3,39.57,3.12,12.2,26.21,2.14,6.1,26.46
1940,4,13,13.1,12.8,37.14,-2.78,0,22.62,1.85,12.8,28.55
1940,7,5,25.26,24.4,40.73,13.88,20,26.52,3.91,4.4,21.68
1940,7,26,26.26,37.8,40.62,15.48,26.7,26.56,5.56,11.1,19.28
1940,9,28,18.34,17.8,39.34,5.19,12.8,27.23,1.91,5,23.35
1943,8,20,23.29,29.4,41.95,15,13.9,26.21,2.5,15.5,21.52
1945,9,4,23.34,22.2,40.39,13.03,20.6,26.06,2.88,1.6,21.76
1947,6,22,23.36,17.2,41.95,12.24,15.6,26.89,2.67,1.6,23.52
1947,6,23,25.83,26.7,40.6,13.43,13.3,26.45,4.7,13.4,21.85
1947,6,24,24.35,28.9,42.25,12.66,11.7,27.38,3.85,17.2,22.7
1948,8,18,25.07,24.4,41.1,15.12,20,26.5,4.08,4.4,20.47
1948,9,28,18.34,19.4,39.34,5.19,18.3,27.23,1.91,1.1,23.35
1949,9,3,24.19,24.4,39.34,12.32,21.1,26.54,3.39,3.3,21.29
1949,9,10,23.05,22.2,39.68,9.61,15.6,27.54,3.13,6.6,22.43
1950,3,31,9.45,9.4,37.78,-5.77,-1.1,24.14,-0.61,10.5,29.47
1950,7,9,25.57,21.7,41.16,14.07,18.3,26.83,4.6,3.4,21.24
