year,month,day,tmaxlow,tmax,tmaxup,tminlow,tmin,tminup,dtrlow,dtr,dtrup
2005,7,31,22.75,30,43.01,15.4,30,27.4,1.43,0,21.52
2006,7,7,24.39,30.6,40.84,14.5,14.4,27.27,3.61,16.2,19.85
2006,7,8,24.56,31.1,41.25,14.85,14.4,27.3,4.7,16.7,18.97
2006,7,9,24.98,31.1,41.35,14.52,14.4,27.74,5.07,16.7,19
2007,8,10,24.27,42.2,41.77,14.82,30.6,27.72,3.13,11.6,20.38
2007,8,24,23.06,41.7,41.1,13.58,21.7,26.85,3.53,20,20.26
2008,7,21,25.75,38.3,41.57,16.81,17.8,26.09,4.27,20.5,20.14
2009,5,18,17.4,17.2,40.16,4.33,8.3,26.32,2.17,8.9,24.74
2009,7,19,24.89,29.4,41.51,16.21,16.1,26.69,3.56,13.3,19.94
2011,3,28,5.98,5.6,37.76,-6.43,3.9,22.23,1.93,1.7,26.01
2012,6,27,21.44,30.6,42.3,14.95,13.3,26.21,1.78,17.3,20.8
2012,8,11,25.05,24.4,41.12,15.76,18.3,26.15,4.08,6.1,20.18
2013,7,11,23.81,30.6,42.09,15.16,15,27.04,3.67,15.6,20.02
2013,7,12,24.88,27.2,41.03,15.03,15,26.94,3.43,12.2,20.51
2013,7,14,24.3,28.9,41.8,16.13,16.1,26.48,3.4,12.8,20.1
2013,8,15,22.87,21.7,41.84,12.7,15.6,28.74,2.69,6.1,20.57
2013,8,16,22.41,18.9,42.48,14.05,15.6,27.61,2.08,3.3,21.16
2013,8,17,22.03,20.6,42.95,14.75,17.8,27.41,2.06,2.8,20.76
2013,8,20,23.37,32.2,41.83,14.26,10,27.21,2.81,22.2,20.92
2014,8,2,24.34,22.8,41.27,16.41,20,26.51,2.55,2.8,20.13
2015,9,12,21.38,21.1,39.48,9.02,17.2,27.62,1.61,3.9,22.62
2015,10,2,16.19,15,39.25,1.37,11.1,27.72,-0.05,3.9,26.4
2016,6,6,20.26,25.6,40.75,9.48,23.3,26.59,2.52,2.3,22.26
2017,9,10,22.41,21.7,39.11,9.6,16.1,27.78,2.48,5.6,21.66
2019,7,25,25.27,31.1,40.29,17.11,16.7,25.98,3.23,14.4,19.24
2019,7,27,26.76,31.7,39.54,16.77,15,26.63,4.42,16.7,18.48
2019,7,28,24.92,31.1,41.13,16.15,14.4,27.43,2.76,16.7,19.71
2019,8,30,21.57,32.8,41.49,12.91,12.8,27.34,2.6,20,20.13
2020,6,15,22.93,20,41.11,10.8,16.1,28.13,3.63,3.9,21.48
2020,6,16,21.85,18.9,41.48,11.29,15.6,27.73,2.51,3.3,21.81
2022,9,30,14.51,13.9,39.17,2.52,11.7,27.75,-1.54,2.2,24.95
2023,4,8,9.25,8.3,38.28,-5.37,5.6,23.62,1.77,2.7,27.51
2023,5,27,16.61,15,42.96,6.24,9.4,27.92,0.61,5.6,24.8
2023,5,28,18.29,17.2,41.53,7.01,12.8,27.01,1.57,4.4,24.23
2023,6,30,24.61,26.7,40.32,12.44,22.8,27.37,4.25,3.9,20.87
2024,1,26,-3.71,25,32.08,-13.11,15.6,15.57,-1.34,9.4,27.25
2024,8,6,23.46,23.3,42.25,14.79,22.2,27.83,2.14,1.1,20.94
2025,8,3,24.13,23.3,41.01,16.36,17.2,26.11,3.28,6.1,19.4
2025,8,7,22.7,22.2,42.42,15.5,18.3,26.54,1.95,3.9,21.13
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
