year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
2016,-5.6,-3.9,1.1,2.8,10,17.8,21.1,18.3,15.6,5,-0.6,-1.7,-5.6
2017,-5,-1.1,-3.9,3.9,8.3,15.6,17.8,16.1,12.8,0.6,0,-2.8,-5
2018,-8.3,-0.6,-1.7,2.2,7.2,17.2,17.2,17.8,18.3,5,-2.2,-2.2,-8.3
2019,-3.3,-1.1,-1.7,2.2,9.4,12.2,14.4,12.8,10.6,5.6,-3.3,-2.8,-3.3
2020,-3.9,-3.9,-1.7,3.3,6.1,14.4,19.4,17.8,10,7.8,0,-6.1,-6.1
2021,-3.3,-3.9,-1.7,-0.6,6.1,11.7,15.6,17.8,10.6,5,-3.9,-2.8,-3.9
2022,-7.2,-2.2,-4.4,0.6,6.7,13.3,18.9,15,8.9,0,-2.8,-11.1,-11.1
2023,-2.8,-1.7,-2.8,2.8,5.6,12.2,18.9,18.3,14.4,5,-1.7,-3.3,-3.3
2024,-7.8,-1.1,1.7,4.4,11.7,10.6,20,17.2,12.8,3.3,-1.7,-5,-7.8
2025,-7.8,-5,-1.7,4.4,10.6,14.4,20,NA,NA,NA,NA,NA,NA
