year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
1991,8.3,3.3,15.6,19.4,25,25.6,27.2,27.2,22.8,21.1,10,11.7,3.3
1992,8.9,12.8,11.1,17.8,16.1,23.3,29.4,25.6,22.2,19.4,12.8,8.3,NA
1993,7.8,10,6.7,12.8,27.2,29.4,33.3,29.4,22.2,20,13.3,7.8,6.7
1994,3.9,9.4,16.1,20,22.2,28.3,NA,28.9,25,16.1,15,10.6,NA
1995,8.9,7.2,13.9,19.4,25,26.1,28.9,26.7,17.8,17.8,10,7.2,7.2
1996,6.1,0,6.1,16.7,21.1,28.9,28.9,27.8,22.8,17.8,13.9,4.4,0
1997,5,10.6,NA,10.6,20.6,20.6,27.2,26.1,12.8,12.2,12.2,8.3,NA
1998,10,8.9,9.4,21.1,26.1,28.3,31.1,28.3,26.7,18.9,17.2,5.6,5.6
1999,5.6,10,15.6,13.3,12.2,23.3,26.7,30,NA,19.4,NA,10.6,NA
2000,5.6,11.1,17.8,13.3,27.2,28.9,28.9,NA,23.9,17.2,11.7,3.9,NA
2001,6.7,NA,15,12.8,27.2,28.3,29.4,31.1,22.2,16.1,NA,10,NA
2002,0.6,10.6,12.8,20.6,21.1,23.3,28.9,NA,26.7,21.1,13.9,7.2,NA
2003,-1.7,9.4,10.6,12.8,21.1,27.8,28.3,30.6,NA,11.7,16.1,10,NA
2004,6.1,6.1,15.6,21.1,25,30,30.6,NA,26.7,18.9,13.9,5,NA
2005,4.4,7.8,NA,16.1,NA,NA,30.6,28.9,28.9,NA,NA,8.9,NA
2006,11.7,11.7,15.6,22.2,20,29.4,28.9,30,NA,17.8,10.6,9.4,NA
2007,9.4,10.6,16.1,16.7,25,25.6,28.9,30,23.9,NA,14.4,12.2,NA
2008,5,11.7,15.6,17.8,25,31.7,29.4,24.4,25,16.1,10,10.6,5
2009,6.1,6.1,9.4,19.4,18.3,24.4,30.6,27.8,27.8,15.6,14.4,8.3,6.1
2010,5.6,6.7,8.9,22.8,22.8,30,31.1,27.8,22.2,21.1,14.4,5.6,5.6
2011,3.3,11.7,15,20.6,23.9,32.8,31.1,31.7,23.9,17.8,14.4,13.3,3.3
2012,11.1,15,19.4,NA,25,24.4,29.4,28.9,27.8,19.4,NA,12.8,NA
2013,NA,9.4,NA,16.7,21.1,NA,28.9,28.9,26.1,NA,NA,10,NA
2014,1.7,4.4,5.6,16.1,22.2,30,29.4,29.4,21.7,22.2,10.6,8.9,1.7
