year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
1935,26.1,25.6,33.3,32.2,36.1,36.7,35,37.8,32.8,30.6,27.8,22.2,37.8
1936,25.6,25.6,30.6,33.3,36.1,38.3,38.9,37.8,35.6,32.2,28.9,24.4,38.9
1937,28.9,26.7,27.2,32.8,36.1,37.2,37.8,35,35,32.2,27.2,22.2,37.8
1938,23.9,27.2,31.7,32.8,37.2,35.6,35,39.4,35.6,30.6,29.4,26.7,39.4
1939,26.7,27.8,30.6,31.1,33.9,38.3,35.6,35.6,37.8,31.7,27.2,24.4,38.3
1940,18.9,22.8,27.2,33.3,35,36.7,37.8,35,36.1,31.7,27.8,24.4,37.8
1941,22.8,21.1,23.9,33.9,38.9,37.2,35.6,36.1,35,33.9,28.9,25.6,38.9
1942,22.8,21.7,30,33.9,32.2,36.1,38.9,36.1,36.7,31.1,29.4,26.7,38.9
1943,27.2,26.7,30,32.2,33.9,39.4,36.1,36.1,33.3,32.8,30,27.8,39.4
1944,27.2,28.9,29.4,31.1,34.4,40,36.1,35,37.8,32.2,26.7,23.9,40
1945,21.1,28.3,32.2,32.2,37.8,38.9,37.2,35.6,36.1,32.2,28.9,20,38.9
1946,26.1,26.1,29.4,33.3,31.7,36.7,35.6,36.7,33.3,30,29.4,26.1,36.7
1947,27.8,24.4,23.9,32.2,33.9,37.8,34.4,35.6,35.6,31.1,25,25,37.8
1948,24.4,28.3,31.7,30.6,33.3,37.2,36.1,37.2,35.6,28.3,30,27.2,37.2
1949,27.8,28.9,30.6,31.1,35,35,38.3,35.6,34.4,32.2,26.7,27.2,38.3
1950,28.9,28.9,30.6,32.2,34.4,40.6,36.1,35.6,33.3,30.6,30,24.4,40.6
1951,29.4,29.4,31.1,31.1,36.1,37.2,38.9,37.2,36.7,35,28.9,28.3,38.9
1952,27.8,25.6,28.9,30.6,36.1,40.6,40.6,37.8,34.4,32.8,28.3,26.7,40.6
1953,25.6,26.7,28.9,32.2,36.7,38.3,36.7,37.2,35,31.1,28.3,23.9,38.3
1954,28.3,26.7,32.2,33.9,33.9,40,40.6,41.1,37.2,36.1,25.6,26.7,41.1
1955,26.7,27.8,32.2,33.9,35.6,35,36.1,38.3,33.9,31.1,30.6,28.3,38.3
1956,25,28.9,29.4,29.4,36.7,37.2,36.7,37.8,35.6,32.2,28.3,28.9,37.8
1957,29.4,29.4,28.3,31.7,33.9,34.4,36.1,38.3,36.7,28.3,28.9,24.4,38.3
1958,18.3,27.2,25,33.9,32.2,36.7,37.2,36.7,35,33.3,31.1,25.6,37.2
1959,26.1,28.3,27.8,31.1,36.1,38.9,39.4,36.1,34.4,33.9,28.9,23.3,39.4
1960,26.1,23.3,28.3,31.7,37.2,35,36.7,35,33.3,31.7,28.3,25,37.2
1961,22.8,27.2,30.6,30.6,31.7,35.6,35,36.1,34.4,30,NA,NA,NA
1962,26.7,29.4,27.8,33.3,36.7,33.9,36.7,35.6,35.6,32.2,NA,NA,NA
1963,NA,NA,NA,35,35,36.1,33.9,36.1,35,31.1,26.1,20,NA
1964,22.8,20,27.8,31.7,35.6,36.7,36.1,35,33.9,32.8,30.6,26.1,36.7
1965,26.1,27.8,29.4,NA,34.4,33.9,35,35.6,35,31.7,27.2,23.3,NA
1966,25.6,22.8,28.3,31.7,32.2,34.4,36.1,36.1,33.3,31.7,28.9,27.2,36.1
1967,26.1,NA,32.2,35.6,35,35,33.9,33.9,32.2,30.6,NA,27.2,NA
1968,23.9,23.9,31.1,33.3,34.4,35,37.8,40,34.4,32.8,27.8,25.6,40
1969,25,25.6,29.4,31.7,33.9,37.2,37.8,34.4,32.2,31.1,23.9,23.9,37.8
1970,25.6,23.9,27.8,32.2,34.4,38.3,37.8,35.6,35.6,31.7,26.7,26.1,38.3
1971,25,26.1,27.8,32.2,33.9,36.7,35.6,35,33.9,33.3,28.9,27.8,36.7
1972,25.6,26.7,27.2,33.3,30.6,34.4,NA,36.7,35.6,31.1,30,26.1,NA
1973,22.8,22.2,31.1,27.2,35.6,34.4,35.6,NA,35.6,33.3,NA,NA,NA
1974,28.3,24.4,33.3,33.3,NA,NA,36.1,34.4,NA,29.4,29.4,25.6,NA
1975,28.3,28.3,29.4,32.2,35.6,NA,NA,37.2,35,NA,NA,NA,NA
1976,NA,NA,NA,NA,NA,NA,35,33.9,32.2,30,23.3,21.7,NA
1977,17.2,26.7,30,31.1,33.9,36.1,38.3,35,33.3,32.2,27.2,24.4,38.3
1978,22.8,21.1,27.2,31.7,33.3,35.6,36.7,35,34.4,28.9,28.3,28.3,36.7
1979,22.8,23.9,27.8,28.9,31.1,36.1,35.6,35,32.2,28.9,28.3,24.4,36.1
1980,20,29.4,27.2,33.3,33.9,35.6,40,37.2,34.4,29.4,25.6,NA,NA
1981,NA,26.7,27.2,33.3,36.1,38.9,38.3,35,33.9,32.8,26.1,25.6,NA
1982,24.4,26.7,31.1,29.4,34.4,36.1,36.7,35.6,33.9,31.1,27.2,27.2,36.7
1983,23.9,24.4,25.6,30,32.8,35,38.9,40,35,32.2,25.6,25.6,40
1984,20.6,25,30,32.8,33.9,38.9,36.1,36.1,35.6,30.6,26.7,26.1,38.9
1985,27.2,28.3,31.7,35,35.6,42.2,37.2,35,35.6,32.2,27.8,23.9,42.2
1986,22.8,27.8,31.1,37.2,36.7,37.8,40.6,36.1,35,35,29.4,25,40.6
1987,22.2,22.8,27.8,33.9,34.4,35.6,37.2,37.8,34.4,27.2,27.8,27.2,37.8
1988,22.2,NA,27.2,34.4,33.9,38.3,38.3,39.4,34.4,32.8,NA,25.6,NA
1989,NA,30,30,33.9,36.1,36.7,36.1,36.1,36.1,31.7,27.8,23.3,NA
1990,26.7,30,30,32.8,NA,37.8,38.3,36.7,37.2,32.8,28.9,26.7,NA
1991,23.9,29.4,31.1,31.7,34.4,35,36.7,35.6,37.8,28.9,27.2,27.2,37.8
1992,21.1,25.6,28.9,31.1,38.9,34.4,44.4,36.7,33.3,30,28.9,26.7,NA
1993,25.6,23.3,28.9,30.6,32.8,39.4,40,38.3,36.1,31.1,30,25,40
1994,25,27.2,28.9,37.2,35,41.7,NA,37.8,35.6,29.4,28.9,26.1,NA
1995,24.4,27.2,30,33.3,36.1,36.1,36.7,37.8,32.2,32.2,29.4,25.6,37.8
